Neighborhood,Latitude,Longitude,
Belmont District,39.966667,-75.205,
Black Bottom,39.9574,-75.1978,
Carroll Park,39.973,-75.236,
Cathedral Park,39.973,-75.236,
Cedar Park,39.947,-75.216,
Cobbs Creek,39.952912,-75.23592,
Dunlap,39.961,-75.222,
Garden Court,39.951944,-75.218611,
Haddington,39.961389,-75.241944,
Haverford North,39.9653,-75.2066,
Mantua,39.964,-75.194,
Mill Creek,39.966,-75.216,
Overbrook,39.988,-75.25,
Overbrook Park,39.977,-75.265,
Overbrook Farms,39.986389,-75.253611,
Parkside,39.973889,-75.206667,
Powelton Village,39.959722,-75.190278,
Saunders Park,39.959,-75.199,
Spruce Hill,39.954,-75.21,
Squirrel Hill,39.945,-75.213,
University City,39.953611,-75.198611,
Walnut Hill,39.956,-75.219,
Woodland Terrace,39.948889,-75.205278,
Wynnefield,39.989,-75.233,
Wynnefield Heights,40.002,-75.209,
